Hour,VMT (Veh-Miles),VHT (Veh-Hours),Q (VMT/VHT),# Lane Points,% Observed
3/7/2023 23:00,"6,463,686.90","97,513.10",66.28531859,430686,55.1
3/8/2023 0:00,"4,500,749.60","68,156.50",66.03551532,430644,55.2
3/8/2023 1:00,"3,482,952.10","53,315.20",65.32756325,430550,55.2
3/8/2023 2:00,"3,361,111.20","51,520.40",65.23845312,430497,55.2
3/8/2023 3:00,"4,335,508.30","65,800.90",65.88828268,430219,55.1
3/8/2023 4:00,"7,970,162.70","120,006.50",66.41442505,430471,55
3/8/2023 5:00,"14,603,577.90","222,210.80",65.71947853,430439,54.9
3/8/2023 6:00,"20,254,552.90","354,535.10",57.12989461,430429,54.9
3/8/2023 7:00,"23,931,488.20","465,276.70",51.43495946,430414,55
3/8/2023 8:00,"23,307,912.80","471,508.30",49.43266704,430450,55.1
3/8/2023 9:00,"21,491,376.30","403,615.20",53.24719262,430455,55.2
3/8/2023 10:00,"20,142,832.80","354,247.80",56.86085503,430440,55
3/8/2023 11:00,"20,853,965.10","355,851.70",58.60296607,430471,54.5
3/8/2023 12:00,"21,816,645.50","367,641.40",59.34218915,430223,51.1
3/8/2023 13:00,"22,869,282.10","388,130.20",58.92167654,430662,50.9
3/8/2023 14:00,"24,506,332.20","433,779.80",56.49486721,430644,51
3/8/2023 15:00,"25,318,352.40","486,615.70",52.02946062,430644,51
3/8/2023 16:00,"25,283,732.90","518,433.50",48.76948133,430392,51
3/8/2023 17:00,"24,733,799.00","519,061.50",47.65099897,430392,51
3/8/2023 18:00,"21,957,313.90","423,139.10",51.89147942,430371,50.9
3/8/2023 19:00,"18,080,476.70","304,061.30",59.46326185,430650,51
3/8/2023 20:00,"15,005,290.90","233,874.80",64.15950286,430392,51
3/8/2023 21:00,"12,615,415.80","189,732.10",66.49067712,430392,51
3/8/2023 22:00,"9,711,097.30","145,610.30",66.6923789,430644,51
3/8/2023 23:00,"6,711,991.90","100,938.40",66.49592127,430392,51
3/9/2023 0:00,"4,666,912.60","70,370.60",66.31906791,430309,51.2
3/9/2023 1:00,"3,568,135.30","54,260.80",65.75898807,430632,51.2
3/9/2023 2:00,"3,441,392.00","52,463.60",65.59580357,430632,51.2
3/9/2023 3:00,"4,431,499.40","67,071.50",66.07127319,430632,51.1
3/9/2023 4:00,"8,043,308.80","120,562.30",66.71495816,430638,51
3/9/2023 5:00,"14,776,935.50","222,129.60",66.52393693,430386,50.9
3/9/2023 6:00,"20,467,109.00","347,662.70",58.8705921,430380,50.8
3/9/2023 7:00,"24,397,864.90","452,945.50",53.86490185,430398,50.9
3/9/2023 8:00,"23,784,278.40","451,553.20",52.67215114,430638,51
3/9/2023 9:00,"21,803,170.50","396,377.50",55.00607502,430386,50.9
3/9/2023 10:00,"21,310,123.30","371,044.50",57.43279661,430638,50.9
3/9/2023 11:00,"21,556,334.10","368,403.30",58.51286918,430627,50.9
3/9/2023 12:00,"22,303,858.00","381,300.30",58.49420522,430638,50.9
3/9/2023 13:00,"23,179,113.20","405,145.70",57.21179615,430632,51
3/9/2023 14:00,"24,513,185.90","456,772.70",53.66604856,430632,51
3/9/2023 15:00,"24,990,865.50","507,871.30",49.20708357,430632,51
3/9/2023 16:00,"24,864,416.10","532,137.40",46.72555641,430632,50.9
3/9/2023 17:00,"24,148,943.80","532,225.50",45.37351893,430632,50.8
3/9/2023 18:00,"21,397,785.90","429,417.90",49.82974836,430632,50.8
3/9/2023 19:00,"18,158,796.20","321,446.70",56.49084654,430638,50.8
3/9/2023 20:00,"15,428,765.10","254,184.90",60.69898369,430644,50.8
3/9/2023 21:00,"13,226,643.60","207,728.60",63.67271334,430632,50.8
3/9/2023 22:00,"10,527,901.80","164,689.50",63.92576212,430632,50.8
3/9/2023 23:00,"7,673,858.80","121,111.10",63.36214269,430632,50.8
3/10/2023 0:00,"4,972,290.30","75,432.60",65.91699477,430537,55.9
3/10/2023 1:00,"3,861,346.40","58,941.60",65.51139433,430626,55.9
3/10/2023 2:00,"3,645,753.40","55,718.40",65.4317676,430878,55.8
3/10/2023 3:00,"4,390,662.10","66,932.10",65.59875008,430878,55.9
3/10/2023 4:00,"7,423,810.70","112,762.60",65.83575317,430872,55.8
3/10/2023 5:00,"13,008,220.60","198,087.30",65.66912972,430878,55.6
3/10/2023 6:00,"17,999,777.90","299,607.10",60.07794174,430872,55.5
3/10/2023 7:00,"22,025,378.70","392,051.80",56.17976681,430878,55.6
3/10/2023 8:00,"21,921,153.00","398,845.80",54.96147383,430872,55.7
3/10/2023 9:00,"20,630,577.90","362,159.20",56.96549446,430867,55.7
3/10/2023 10:00,"20,746,687.90","362,385.90",57.2502625,430872,55.5
3/10/2023 11:00,"21,644,622.90","378,123.00",57.24228069,430872,55.6
3/10/2023 12:00,"22,331,978.10","398,105.20",56.09567044,430872,55.5
3/10/2023 13:00,"23,052,225.30","425,968.00",54.11727008,430615,55.5
3/10/2023 14:00,"23,813,236.20","473,316.70",50.31142193,430872,55.6
3/10/2023 15:00,"23,935,290.50","510,975.00",46.84239053,430872,55.5
3/10/2023 16:00,"23,796,784.60","512,872.60",46.39901722,430873,55.5
3/10/2023 17:00,"23,403,827.90","493,696.30",47.40531355,430872,55.4
3/10/2023 18:00,"21,348,180.40","407,082.60",52.4418887,430872,55.4
3/10/2023 19:00,"18,506,679.80","312,416.30",59.23724146,430620,55.5
3/10/2023 20:00,"15,707,141.30","247,948.60",63.34837664,430872,55.4
3/10/2023 21:00,"13,816,459.90","211,282.50",65.39329997,430872,55.3
3/10/2023 22:00,"11,661,714.30","177,011.20",65.88122277,430872,55.4
3/10/2023 23:00,"8,802,417.60","133,885.10",65.74605837,430878,55.4
3/11/2023 0:00,"6,318,427.50","96,232.00",65.65827895,430916,56.1
3/11/2023 1:00,"4,691,206.10","71,500.70",65.61063178,431028,56.1
3/11/2023 2:00,"4,021,269.00","61,275.30",65.62626376,431028,56.1
3/11/2023 3:00,"3,709,229.70","56,883.30",65.20770947,431028,56
3/11/2023 4:00,"4,450,231.40","67,816.20",65.62195169,430968,55.9
3/11/2023 5:00,"6,483,866.60","98,068.80",66.11548831,430962,55.9
3/11/2023 6:00,"9,788,944.30","148,907.20",65.73855596,430968,55.8
3/11/2023 7:00,"13,576,411.90","208,563.80",65.09476669,430956,55.9
3/11/2023 8:00,"16,992,790.50","263,860.30",64.40070939,430968,56
3/11/2023 9:00,"20,017,811.10","315,951.60",63.35720756,430956,55.9
3/11/2023 10:00,"22,041,308.40","357,066.40",61.72887844,430962,56
3/11/2023 11:00,"23,003,591.50","382,756.60",60.09979057,430962,56
3/11/2023 12:00,"23,360,518.90","396,381.60",58.934418,430956,56
3/11/2023 13:00,"23,463,837.40","399,472.30",58.7370824,430956,56
3/11/2023 14:00,"23,541,168.70","397,139.60",59.27681022,430956,56
3/11/2023 15:00,"23,387,174.10","392,496.60",59.5856731,430956,56
3/11/2023 16:00,"22,899,709.70","381,020.00",60.10107002,430956,56
3/11/2023 17:00,"21,876,198.50","359,899.10",60.78425453,430956,56
3/11/2023 18:00,"20,146,657.50","327,786.90",61.46266828,430956,56
3/11/2023 19:00,"17,280,620.90","271,792.90",63.58010419,430956,55.9
3/11/2023 20:00,"15,243,957.00","234,784.50",64.92744197,430956,56
3/11/2023 21:00,"14,232,828.60","213,922.00",66.53279513,430956,56
3/11/2023 22:00,"12,625,694.10","189,690.00",66.55961885,430962,56
3/11/2023 23:00,"9,748,256.30","146,682.80",66.45807348,430704,55.9
3/12/2023 0:00,"6,859,898.50","102,864.50",66.68868755,431103,56
3/12/2023 1:00,"4,903,423.40","73,769.10",66.46988238,431208,56
3/12/2023 3:00,"3,998,133.10","60,240.70",66.36930016,431214,56
3/12/2023 4:00,"3,797,094.00","57,265.90",66.30637081,431214,56
3/12/2023 5:00,"4,593,674.90","69,138.00",66.44211432,431214,56
3/12/2023 6:00,"6,418,317.20","96,897.60",66.23814419,431214,55.9
3/12/2023 7:00,"8,413,264.20","126,890.20",66.30349862,431208,55.8
3/12/2023 8:00,"11,427,046.20","173,260.40",65.95301754,431220,55.9
3/12/2023 9:00,"15,306,085.70","235,349.70",65.03550121,431214,56
3/12/2023 10:00,"18,705,705.20","292,115.20",64.03537098,431232,56
3/12/2023 11:00,"20,972,337.70","333,710.80",62.84584646,431220,56.1
3/12/2023 12:00,"22,548,349.50","366,497.00",61.52396745,431208,56
3/12/2023 13:00,"23,055,834.00","381,523.90",60.43090354,431238,56
3/12/2023 14:00,"23,141,445.60","384,056.70",60.25528418,431220,55.9
3/12/2023 15:00,"22,861,702.10","380,012.00",60.16047414,431208,55.6
3/12/2023 16:00,"22,303,599.90","366,390.30",60.87388203,430962,55.9
3/12/2023 17:00,"21,401,161.60","345,751.10",61.89759512,431208,56
3/12/2023 18:00,"19,758,639.30","314,482.60",62.82903824,430962,56
3/12/2023 19:00,"17,960,895.60","287,922.60",62.38098572,431214,56
3/12/2023 20:00,"16,243,116.80","259,343.90",62.63157452,430935,55.9
3/12/2023 21:00,"14,148,892.80","215,033.00",65.79870438,431193,55.9
3/12/2023 22:00,"10,887,227.10","163,093.80",66.75438981,431214,55.9
3/12/2023 23:00,"7,440,297.10","111,783.10",66.56012492,430956,56
3/13/2023 0:00,"4,977,465.70","74,810.70",66.53414151,431093,55.7
3/13/2023 1:00,"3,647,405.10","55,201.50",66.07438385,431214,55.8
3/13/2023 2:00,"3,358,248.90","51,004.90",65.84169168,431208,55.8
3/13/2023 3:00,"4,318,038.20","65,132.70",66.29601107,431208,55.7
3/13/2023 4:00,"7,810,755.70","117,513.60",66.46682341,431208,55.6
3/13/2023 5:00,"13,972,716.90","213,868.40",65.33324652,431214,55.5
3/13/2023 6:00,"18,762,484.60","318,395.90",58.92816019,431214,55.5
3/13/2023 7:00,"22,851,620.00","410,729.70",55.63663889,431208,55.5
3/13/2023 8:00,"22,596,215.70","408,057.50",55.37507753,431214,55.6
3/13/2023 9:00,"20,595,629.90","354,375.00",58.11817961,431214,55.7
3/13/2023 10:00,"20,180,193.40","340,105.70",59.33506378,431208,55.7
3/13/2023 11:00,"20,624,322.20","346,040.50",59.60089123,431214,55.7
3/13/2023 12:00,"21,515,263.90","361,439.30",59.52663117,431203,55.7
3/13/2023 13:00,"22,385,727.90","377,700.40",59.26847814,431208,55.7
3/13/2023 14:00,"24,048,434.60","417,643.60",57.58123577,431208,55.7
3/13/2023 15:00,"24,976,578.80","464,065.30",53.82125921,431208,55.7
3/13/2023 16:00,"24,957,819.10","484,714.40",51.48974138,431214,55.7
3/13/2023 17:00,"24,548,788.90","472,733.20",51.92947925,431208,55.7
3/13/2023 18:00,"20,995,106.50","362,379.40",57.93681015,431208,55.7
3/13/2023 19:00,"17,067,056.50","271,468.60",62.86935763,431208,55.7
3/13/2023 20:00,"14,074,558.40","217,387.90",64.74398253,431208,55.7
3/13/2023 21:00,"11,745,775.30","177,280.90",66.25516511,431208,55.5
3/13/2023 22:00,"9,235,705.80","139,074.40",66.40838141,431208,55.7
3/13/2023 23:00,"6,569,068.20","99,278.70",66.16795143,430956,55.7
3/14/2023 0:00,"4,611,615.70","69,763.20",66.10384415,431089,56.2
3/14/2023 1:00,"3,568,891.90","54,359.70",65.65326703,431208,56.2
3/14/2023 2:00,"3,382,310.20","51,609.10",65.53708939,431208,56.4
3/14/2023 3:00,"4,271,132.50","64,856.20",65.85542323,431208,56.3
3/14/2023 4:00,"7,613,506.80","114,820.00",66.30819369,431208,56.2
3/14/2023 5:00,"13,686,336.80","206,876.80",66.15694365,431208,56.2
3/14/2023 6:00,"18,519,612.80","318,093.50",58.22065776,431214,56.2
3/14/2023 7:00,"22,505,473.10","422,135.00",53.31344973,431214,56.1
3/14/2023 8:00,"22,008,194.70","426,079.70",51.6527652,431208,56.1
3/14/2023 9:00,"19,976,821.30","362,650.70",55.08557215,431208,56.2
3/14/2023 10:00,"19,076,342.00","329,837.40",57.83559414,431214,56.1
3/14/2023 11:00,"19,033,775.90","329,287.00",57.8029983,431214,56
3/14/2023 12:00,"19,623,730.80","341,583.60",57.44927684,431208,56.1
3/14/2023 13:00,"20,352,080.10","359,433.90",56.62259486,431220,56.1
3/14/2023 14:00,"21,783,591.30","400,490.40",54.3922933,431208,56.1
3/14/2023 15:00,"22,645,406.10","442,845.70",51.13610926,431232,56.1
3/14/2023 16:00,"22,646,920.80","461,034.40",49.12197615,431250,56
3/14/2023 17:00,"22,423,203.80","459,465.20",48.80283382,431238,56
3/14/2023 18:00,"19,343,420.10","358,821.60",53.90818195,431256,55.2
3/14/2023 19:00,"15,675,848.50","263,279.40",59.54073315,431268,56
3/14/2023 20:00,"13,012,533.40","209,121.10",62.22487066,431274,55.8
3/14/2023 21:00,"11,124,012.70","171,623.10",64.81652353,431262,55.7
3/14/2023 22:00,"8,860,941.40","135,878.00",65.21248031,431262,55.8
3/14/2023 23:00,"6,434,463.90","99,102.10",64.92762414,431028,55.8
3/15/2023 0:00,"4,607,860.60","70,507.00",65.35323585,430995,55.9
3/15/2023 1:00,"3,510,832.80","54,104.80",64.88948855,431268,55.9
3/15/2023 2:00,"3,353,329.00","51,802.60",64.73283194,431280,55.8
3/15/2023 3:00,"4,283,975.50","66,147.20",64.76427574,431262,55.7
3/15/2023 4:00,"7,538,749.70","117,347.20",64.2431153,431286,55.6
3/15/2023 5:00,"13,598,257.10","212,861.30",63.88318168,431262,53.1
3/15/2023 6:00,"18,577,427.20","327,657.90",56.6976325,431254,53.1
3/15/2023 7:00,"22,674,012.80","434,327.40",52.20488691,431164,53
3/15/2023 8:00,"22,202,587.80","446,483.70",49.7276559,430997,53.1
3/15/2023 9:00,"20,551,446.00","385,586.00",53.2992536,430875,49.5
3/15/2023 10:00,"20,186,594.30","353,045.50",57.17844952,430785,38.7
3/15/2023 11:00,"20,479,899.50","349,697.00",58.56469887,430767,38.7
3/15/2023 12:00,"21,295,338.20","360,515.30",59.06916627,431011,47.3
3/15/2023 13:00,"22,084,030.30","373,842.00",59.0731654,430970,53.4
3/15/2023 14:00,"23,820,382.80","416,270.80",57.22328542,430724,48.8
3/15/2023 15:00,"24,945,945.10","458,974.30",54.35150748,430766,38.7
3/15/2023 16:00,"25,113,413.60","480,197.00",52.29814764,430735,38.7
3/15/2023 17:00,"24,642,724.70","476,931.80",51.66928416,430797,38.7
3/15/2023 18:00,"21,299,951.50","375,974.20",56.65269452,430725,38.6
3/15/2023 19:00,"17,425,873.40","278,949.60",62.46961243,430746,38.7
3/15/2023 20:00,"14,698,138.60","227,508.30",64.60484563,430751,38.5
3/15/2023 21:00,"12,498,855.10","187,254.60",66.74792021,430715,38.2
3/15/2023 22:00,"9,709,165.90","145,142.80",66.89388588,430756,38
3/15/2023 23:00,"6,737,083.60","100,837.60",66.81122518,430734,38.1
3/16/2023 0:00,"4,623,599.10","69,322.10",66.69733173,430816,38.6
3/16/2023 1:00,"3,479,943.80","52,634.80",66.11488597,430807,38.6
3/16/2023 2:00,"3,299,445.30","50,132.30",65.81476014,430786,38.5
3/16/2023 3:00,"4,260,347.00","64,241.50",66.31767627,430797,38.4
3/16/2023 4:00,"7,911,026.70","117,937.20",67.07829845,430786,38.2
3/16/2023 5:00,"14,499,454.30","218,211.40",66.44682313,430791,38.1
3/16/2023 6:00,"20,007,342.80","341,361.80",58.6103741,430881,38.2
3/16/2023 7:00,"23,970,250.30","443,391.10",54.06118955,430793,38.2
3/16/2023 8:00,"23,776,533.00","456,898.40",52.03899379,431021,45.7
3/16/2023 9:00,"21,912,121.90","403,683.00",54.28051689,431011,53.2
3/16/2023 10:00,"21,373,183.30","373,439.60",57.23330707,431002,53.2
3/16/2023 11:00,"21,541,975.50","367,003.50",58.69692115,430813,49.5
3/16/2023 12:00,"22,474,011.30","379,221.60",59.26353167,430801,38.5
3/16/2023 13:00,"23,473,403.90","398,107.80",58.96243153,431016,39.7
3/16/2023 14:00,"24,878,692.00","447,833.40",55.55345358,431041,53.1
3/16/2023 15:00,"25,600,745.20","502,749.50",50.92147322,431015,53.1
3/16/2023 16:00,"25,564,718.10","532,555.20",48.0038841,431084,53.1
3/16/2023 17:00,"25,176,449.40","532,154.80",47.31038675,431026,53
3/16/2023 18:00,"22,572,181.40","429,314.30",52.57728755,431046,53.1
3/16/2023 19:00,"19,352,179.50","324,536.50",59.63020954,431052,53
3/16/2023 20:00,"16,576,996.50","260,440.70",63.64979245,431035,53
3/16/2023 21:00,"14,082,215.60","212,555.20",66.25203994,431000,52.9
3/16/2023 22:00,"11,005,830.30","164,981.20",66.70960267,431016,52.9
3/16/2023 23:00,"7,657,866.80","115,224.80",66.46023078,430748,52.9
3/17/2023 0:00,"5,297,080.70","79,927.20",66.27381792,431147,53.2
3/17/2023 1:00,"4,009,494.10","60,745.50",66.00479212,431103,53.2
3/17/2023 2:00,"3,754,749.80","57,037.10",65.82995629,431146,53.2
3/17/2023 3:00,"4,511,483.40","68,165.10",66.18465168,431146,53.2
3/17/2023 4:00,"7,756,463.20","116,249.30",66.72266586,431144,52.7
3/17/2023 5:00,"13,799,766.90","207,346.90",66.55400635,431160,52.6
3/17/2023 6:00,"17,665,967.10","289,624.90",60.99602313,431212,52.9
3/17/2023 7:00,"19,281,888.50","330,296.50",58.37751384,431113,53.1
3/17/2023 8:00,"22,439,905.20","391,079.10",57.37945393,431140,53.2
3/17/2023 9:00,"21,819,302.20","372,129.90",58.63356371,431160,53.4
3/17/2023 10:00,"22,044,235.30","375,304.40",58.73694873,431140,53.4
3/17/2023 11:00,"23,117,822.10","395,914.70",58.39091628,431134,53.4
3/17/2023 12:00,"24,032,485.00","419,550.40",57.28152089,431170,53.4
3/17/2023 13:00,"24,846,864.20","446,439.20",55.65565076,431133,53.4
3/17/2023 14:00,"25,976,470.40","494,435.20",52.53766399,431139,53.4
3/17/2023 15:00,"26,186,532.90","533,085.80",49.12254819,431144,53.4
3/17/2023 16:00,"25,911,427.30","538,999.80",48.07316682,431118,53.4
3/17/2023 17:00,"25,602,497.10","514,527.10",49.75927818,431129,53.3
3/17/2023 18:00,"23,508,904.90","421,953.10",55.71449742,431154,53.3
3/17/2023 19:00,"20,659,358.80","336,918.30",61.31860098,431123,53.3
3/17/2023 20:00,"18,063,645.40","280,712.00",64.34938798,431145,53.3
3/17/2023 21:00,"15,786,631.70","236,672.50",66.70243353,431118,53.2
3/17/2023 22:00,"13,139,126.40","197,152.70",66.64441522,431103,53.3
3/17/2023 23:00,"9,755,352.60","146,514.80",66.5827111,430883,53.3
3/18/2023 0:00,"6,924,553.60","103,748.00",66.74397193,431124,53.8
3/18/2023 1:00,"5,137,683.30","77,147.40",66.59567659,431093,53.9
3/18/2023 2:00,"4,415,459.40","66,321.00",66.57709323,431155,53.9
3/18/2023 3:00,"3,992,558.40","60,222.60",66.29667932,431149,53.9
3/18/2023 4:00,"4,742,873.40","71,346.30",66.47679557,431135,53.8
3/18/2023 5:00,"7,062,562.70","105,582.90",66.89116041,430846,53.7
3/18/2023 6:00,"10,674,357.30","161,856.60",65.94947194,431167,53.7
3/18/2023 7:00,"14,716,944.40","224,158.50",65.65418844,431165,53.8
3/18/2023 8:00,"18,445,833.10","283,347.80",65.09961644,431134,53.9
3/18/2023 9:00,"21,452,665.70","337,069.70",63.64459843,431129,53.8
3/18/2023 10:00,"23,417,213.20","384,467.20",60.90822104,431175,53.9
3/18/2023 11:00,"24,441,542.90","416,530.90",58.67882287,431161,53.9
3/18/2023 12:00,"24,891,510.50","438,660.60",56.74434973,431149,53.9
3/18/2023 13:00,"24,927,999.90","448,363.30",55.5977706,431123,53.9
3/18/2023 14:00,"24,970,717.30","449,769.40",55.51893326,431149,53.9
3/18/2023 15:00,"24,808,262.10","447,728.30",55.40918923,431113,53.9
3/18/2023 16:00,"24,569,387.50","439,213.60",55.93949618,431170,53.9
3/18/2023 17:00,"23,921,217.00","415,205.60",57.61294405,431114,53.9
3/18/2023 18:00,"22,198,613.80","370,553.70",59.90660409,431118,53.8
3/18/2023 19:00,"19,547,533.80","313,045.10",62.44318726,431113,53.7
3/18/2023 20:00,"17,487,013.80","274,738.60",63.64964297,431140,53.7
3/18/2023 21:00,"16,054,003.20","245,007.80",65.52445759,431143,53.6
3/18/2023 22:00,"14,270,632.50","214,797.00",66.43776449,431169,53.7
3/18/2023 23:00,"10,733,055.80","160,047.40",67.06173171,431154,53.7
3/19/2023 0:00,"7,494,307.60","112,114.20",66.84530238,431211,53.7
3/19/2023 1:00,"5,217,129.40","78,591.20",66.38312432,431196,53.8
3/19/2023 2:00,"4,153,761.40","62,700.90",66.24723728,431169,53.8
3/19/2023 3:00,"3,386,466.20","51,370.00",65.9230329,430923,53.8
3/19/2023 4:00,"3,524,032.70","53,379.40",66.01858957,431204,53.8
3/19/2023 5:00,"4,663,487.40","70,342.60",66.29677322,430901,53.7
3/19/2023 6:00,"6,695,917.70","101,350.50",66.06694294,431190,53.7
3/19/2023 7:00,"8,984,198.40","135,764.50",66.17487193,431169,53.6
3/19/2023 8:00,"12,266,069.50","186,111.00",65.90727845,431175,53.7
3/19/2023 9:00,"16,484,429.50","253,568.60",65.00974293,431180,53.7
3/19/2023 10:00,"19,957,447.00","313,532.20",63.65358008,431148,53.8
3/19/2023 11:00,"22,066,879.60","356,322.20",61.92956712,431148,53.8
3/19/2023 12:00,"23,454,632.80","387,923.80",60.46195877,431175,53.8
3/19/2023 13:00,"23,790,927.00","403,691.30",58.93346475,431154,53.8
3/19/2023 14:00,"23,599,354.30","406,293.20",58.08454166,431154,53.6
3/19/2023 15:00,"23,288,542.80","398,810.50",58.39500916,431148,53.8
3/19/2023 16:00,"22,885,856.90","384,475.50",59.52487714,431149,53.9
3/19/2023 17:00,"21,824,993.70","358,010.40",60.96189859,431154,53.8
3/19/2023 18:00,"20,132,132.10","324,340.00",62.07107387,431169,53.7
3/19/2023 19:00,"17,942,104.40","288,943.10",62.09563198,431169,53.6
3/19/2023 20:00,"16,137,144.90","259,544.50",62.17486751,431217,53.6
3/19/2023 21:00,"13,750,599.90","210,751.30",65.24562316,431154,53.6
3/19/2023 22:00,"10,579,272.00","159,973.10",66.13156837,431166,53.6
3/19/2023 23:00,"7,183,633.10","108,279.40",66.34348824,431165,53.5
3/20/2023 0:00,"4,821,064.00","73,046.50",65.99993155,431175,53.6
3/20/2023 1:00,"3,568,042.90","54,406.00",65.58179061,431196,53.6
3/20/2023 2:00,"3,336,598.40","50,862.90",65.59984586,431165,53.5
3/20/2023 3:00,"4,331,650.20","65,782.40",65.84816303,431165,53.5
3/20/2023 4:00,"7,809,542.90","118,628.30",65.83203924,430917,53.4
3/20/2023 5:00,"13,869,059.10","213,188.90",65.05525897,431175,53.3
3/20/2023 6:00,"18,783,592.80","323,135.90",58.12908067,431190,53.2
3/20/2023 7:00,"22,639,336.70","418,499.60",54.0964357,431175,53.2
3/20/2023 8:00,"22,464,733.70","423,309.10",53.06933798,431196,53.3
3/20/2023 9:00,"20,754,610.50","364,375.10",56.9594643,431169,53.4
3/20/2023 10:00,"20,450,962.20","346,204.00",59.07199859,431169,53.5
3/20/2023 11:00,"20,900,753.20","348,893.90",59.90575702,431148,53.4
3/20/2023 12:00,"21,755,504.40","360,003.20",60.4314195,431149,53.2
3/20/2023 13:00,"22,623,136.90","374,994.20",60.32929816,431148,53.4
3/20/2023 14:00,"24,315,481.20","412,651.20",58.92502239,431175,53.5
3/20/2023 15:00,"25,217,401.40","451,386.40",55.86655114,431169,53.5
3/20/2023 16:00,"25,213,398.20","462,678.50",54.49442367,431164,53.4
3/20/2023 17:00,"24,658,006.50","446,389.20",55.23880618,431154,53.5
3/20/2023 18:00,"20,611,756.00","341,377.50",60.3781913,431148,53.5
3/20/2023 19:00,"16,637,600.20","260,007.20",63.988998,431154,53.5
3/20/2023 20:00,"13,928,496.80","215,475.60",64.64071477,431160,53.5
3/20/2023 21:00,"11,661,314.30","175,375.30",66.49348169,431154,53.5
3/20/2023 22:00,"9,011,762.70","135,035.30",66.73634746,431148,53.6
3/20/2023 23:00,"6,396,736.70","96,471.70",66.30687238,431174,53.6
